117034578	AMD	250	02/14/2014	3.5	8.68
117034578	AMZN	15	06/17/2015	515.0	759.36
117034578	VALE	123	12/13/2014	29.15	8.66
784153478	MSFT	10	11/29/2009	55.15	60.22
784153478	MSFT	50	02/11/2010	50.03	60.22
025328998	AIG	500	06/30/2013	57.75	64.22
025328998	CSCO	1050	07/07/2012	25.16	29.53
025328998	NFLX	50	05/15/2012	95.56	119.16
025328998	GOOG	25	10/09/2011	498.28	762.52
025328998	JPM	65	11/07/2009	59.94	83.26
025328998	MU	78	08/29/2013	18.26	18.61
784153478	X	1400	05/17/2010	19.62	35.21
784153478	JNJ	78	07/28/2016	125.45	111.94
025328998	WFC	200	03/26/2016	51.99	54.35
117034578	F	90	01/17/2016	14.56	12.44
784153478	CHK	5000	09/24/2014	6.78	7.48
